Node,Indegree,Outdegree
4852,15,38
37625,25,35
4858,13,14
37627,23,23
135936,5,5
37634,16,16
135940,3,3
70405,10,10
37641,18,19
37648,3,3
4882,11,11
37655,21,20
135971,1,1
37668,18,18
37672,14,14
135977,0,1
37679,3,3
70451,12,12
4916,18,17
37685,2,2
37688,26,26
4925,15,15
135999,4,4
37698,3,3
136003,3,2
37700,3,3
136005,1,1
70472,28,29
136012,3,3
136016,3,3
136017,1,0
70492,10,10
136029,0,1
37728,18,18
136039,1,1
37736,25,25
37737,25,25
70506,25,25
136051,3,3
103284,1,1
37752,25,25
37755,68,36
37756,3,2
70523,6,6
37758,18,1
4994,9,9
136066,5,6
70530,25,25
70532,30,29
136074,3,3
70543,5,5
5009,3,3
136084,1,1
37782,2,2
103321,3,3
5018,14,14
37785,1,1
136109,1,1
136111,1,1
70586,10,10
37819,25,25
136124,3,3
5053,86,86
136127,3,3
5055,33,35
136130,6,5
136131,3,6
136132,3,3
103362,1,1
37829,2,2
136135,1,1
136136,3,3
37834,2,2
5068,1,1
136141,1,1
70610,19,19
5075,2,2
5074,16,16
136153,5,5
136154,5,5
136158,3,3
103392,4,4
37858,29,30
70628,6,6
37861,5,6
70631,4,4
70633,4,5
70638,1,1
136175,9,9
70640,1,0
136177,2,2
37874,4,4
70642,8,8
136183,4,4
136186,2,2
136187,7,2
136189,5,5
136194,2,2
136197,2,2
37894,2,2
136201,3,3
70665,5,5
136205,3,3
136208,4,4
136211,6,6
5140,38,38
37909,14,14
37910,2,2
70680,12,12
136216,3,3
136220,8,8
37919,93,93
136224,9,7
37930,18,3
136236,12,12
37936,5,5
136242,2,2
37940,3,3
136247,3,3
5175,20,20
70717,7,7
136254,2,2
136256,6,6
5187,1,1
5189,8,6
136263,2,2
5191,12,12
136268,2,2
136269,2,2
5199,2,2
136273,3,3
37970,25,25
37972,141,140
136276,2,2
136280,3,3
5211,2,2
136286,2,2
136291,6,6
136292,3,3
136301,9,9
38003,8,1
70774,2,2
38006,4,4
5240,38,38
5241,9,9
70782,2,2
5247,11,11
38016,2,2
38017,8,8
5257,8,7
136333,1,1
38033,1,1
136338,2,2
38036,1,1
38044,3,3
103587,1,1
38065,2,2
38087,31,31
103637,5,5
38101,2,1
5344,20,18
38115,5,3
70885,5,5
5352,12,12
136425,2,2
70888,1,1
136430,1,1
70904,2,2
38137,2,2
70914,2,2
38147,3,3
70918,5,1
38151,1,1
5385,6,6
38167,1,1
5400,20,20
5401,34,34
70936,30,30
38170,1,1
70940,25,21
103714,1,1
5412,22,22
5423,13,13
70961,4,4
70974,2,2
38207,2,6
38213,2,2
38216,3,3
5449,2,2
5470,28,28
5472,11,0
5474,19,18
71017,1,1
103805,3,3
38270,4,4
5506,20,20
5511,12,12
5515,20,20
136591,2,2
5521,12,12
103827,1,1
